age,gender,filename,filepath
3,1,00013_00M19.JPG,/kaggle/input/morph/Dataset/Images/Train/00013_00M19.JPG
3,1,00013_01M19.JPG,/kaggle/input/morph/Dataset/Images/Train/00013_01M19.JPG
3,1,00013_02M19.JPG,/kaggle/input/morph/Dataset/Images/Train/00013_02M19.JPG
3,1,00022_03M19.JPG,/kaggle/input/morph/Dataset/Images/Train/00022_03M19.JPG
4,1,00022_04M20.JPG,/kaggle/input/morph/Dataset/Images/Train/00022_04M20.JPG
14,1,00027_00M30.JPG,/kaggle/input/morph/Dataset/Images/Train/00027_00M30.JPG
1,0,00033_00F17.JPG,/kaggle/input/morph/Dataset/Images/Train/00033_00F17.JPG
3,0,00033_02F19.JPG,/kaggle/input/morph/Dataset/Images/Train/00033_02F19.JPG
30,1,0006_2M46.JPG,/kaggle/input/morph/Dataset/Images/Train/0006_2M46.JPG
24,1,00073_00M40.JPG,/kaggle/input/morph/Dataset/Images/Train/00073_00M40.JPG
0,1,0007_01M16.JPG,/kaggle/input/morph/Dataset/Images/Train/0007_01M16.JPG
1,1,0007_04M17.JPG,/kaggle/input/morph/Dataset/Images/Train/0007_04M17.JPG
28,0,0007_1F44.JPG,/kaggle/input/morph/Dataset/Images/Train/0007_1F44.JPG
26,0,00098_02F42.JPG,/kaggle/input/morph/Dataset/Images/Train/00098_02F42.JPG
7,1,00109_02M23.JPG,/kaggle/input/morph/Dataset/Images/Train/00109_02M23.JPG
25,1,00111_03M41.JPG,/kaggle/input/morph/Dataset/Images/Train/00111_03M41.JPG
25,1,00111_06M41.JPG,/kaggle/input/morph/Dataset/Images/Train/00111_06M41.JPG
14,1,0011_02M30.JPG,/kaggle/input/morph/Dataset/Images/Train/0011_02M30.JPG
40,1,00121_05M56.JPG,/kaggle/input/morph/Dataset/Images/Train/00121_05M56.JPG
4,1,0013_06M20.JPG,/kaggle/input/morph/Dataset/Images/Train/0013_06M20.JPG
19,1,00144_02M35.JPG,/kaggle/input/morph/Dataset/Images/Train/00144_02M35.JPG
21,1,00144_04M37.JPG,/kaggle/input/morph/Dataset/Images/Train/00144_04M37.JPG
11,1,00199_00M27.JPG,/kaggle/input/morph/Dataset/Images/Train/00199_00M27.JPG
21,1,00205_04M37.JPG,/kaggle/input/morph/Dataset/Images/Train/00205_04M37.JPG
3,1,00217_00M19.JPG,/kaggle/input/morph/Dataset/Images/Train/00217_00M19.JPG
4,1,00217_01M20.JPG,/kaggle/input/morph/Dataset/Images/Train/00217_01M20.JPG
22,0,00222_0F38.JPG,/kaggle/input/morph/Dataset/Images/Train/00222_0F38.JPG
23,0,00222_1F39.JPG,/kaggle/input/morph/Dataset/Images/Train/00222_1F39.JPG
15,0,00225_02F31.JPG,/kaggle/input/morph/Dataset/Images/Train/00225_02F31.JPG
13,1,00231_03M29.JPG,/kaggle/input/morph/Dataset/Images/Train/00231_03M29.JPG
